company_id,company_name,hq_addr1,hq_addr2,hq_locality,hq_region,hq_postal_code,hq_country,website,industry,company_size
,intel israel,,,,,,,,,
,studentV,,,,,,,,,
499123,Bizportal.co.il,,,,,,,http://www.bizportal.co.il,Marketing and Advertising,51-200 employees
,SmarTeam,,,,,,,,,
,FTS Formula Telecom Solutions,,,,,,,,,
,Matrix - Talpiot division,,,,,,,,,
,SintecMedia,,,,,,,,,
345369,Department of Corrections,Mayfair House,44 The Terrace,Wellington,Wellington,6140,New Zealand,http://www.corrections.govt.nz,Government Administration,1001-5000 employees
,Sysware Consulting Group,,,,,,,,,
,Creature,,,,,,,,,
,Markitable New Zealand,,,,,,,,,
,Tupperware Brands,,,,,,,,,
95579,The Kabbalah Centre,1062 S. Robertson Blvd.,,Los-Angeles,CA,90035,United States,http://www.kabbalah.com,Religious Institutions,201-500 employees
,Licensario,,,,,,,,,
850027,"E.S. Shimron, I. Molho, Persky & Co",,,,,,,http://www.smplaw.co.il,Law Practice,11-50 employees
,PELEPHONE COMMUNICATIONS LTD,,,,,,,,,
,technion - iit,,,,,,,,,
,Technion - Israel Institute of Technology,,,,,,,,,
,Recruit IT Group Ltd,,,,,,,,,
,Icon Recruitment,,,,,,,,,
,CodeOasis LTD.,,,,,,,,,
45048,Netica,,,,,,,,Internet,11-50 employees
16990,Mantis,,,,,,,http://www.eranpal.com,Internet,11-50 employees
,EMC,,,,,,,,,
,PMC-Sierra,,,,,,,,,
,Neustar,,,,,,,,,
,Intel Corporation Ltd,,,,,,,,,
,Marvell Technology Group Ltd.,,,,,,,,,
,MailVision,,,,,,,,,
,BPath (formerly Hyperbanner),,,,,,,,,
,IBM Argentina,,,,,,,,,
,Heyday Limited,,,,,,,,,
,Shift Ltd (Wellington),,,,,,,,,
,Shift Ltd (Auckland),,,,,,,,,
,BulletProof Software Ltd,,,,,,,,,
,"Technion, Chem. Eng.",,,,,,,,,
452468,I Grow New Zealand Limited,,,,,,,http://www.igrow.co.nz,Venture Capital & Private Equity,1-10 employees
,ANZ Investment Bank,,,,,,,,,
,Microsoft,,,,,,,,,
,Comverse,,,,,,,,,
,Midas Infomedia Limited,,,,,,,,,
,3months.Com Limited,,,,,,,,,
,Dimension Data,,,,,,,,,
,Certus Consulting Ltd,,,,,,,,,
,IBM New Zealand,,,,,,,,,
,Aternity,,,,,,,,,
32719,Savantis,,,,,,,,Computer Software,11-50 employees
,SHPiGEL your business reflection,,,,,,,,,
,FlixM,,,,,,,,,
,Symlink technologies,,,,,,,,,
,CPS,,,,,,,,,
,Amobee,,,,,,,,,
,PricewaterhouseCoopers,,,,,,,,,
11121,Israeli Air Force,,,,,,,,Military,"10,001+ employees"
,PwC,,,,,,,,,
639647,Central TAS,,,,,,,http://www.centraltas.co.nz,"Health, Wellness and Fitness",11-50 employees
1063915,TACTICS Ltd,,,,,,,http://tactics.co.nz/,Writing and Editing,11-50 employees
,Zingmobile Pte Ltd,,,,,,,,,
,"NeuStar, Inc.",,,,,,,,,
5347,Followap,,,,,,,,Telecommunications,51-200 employees
,Followap GMBH (Acquired by NeuStar),,,,,,,,,
,"Utopia, Inc.",,,,,,,,,
,CoreObjects,,,,,,,,,
,Virtusa,,,,,,,,,
9387,Silverline Technologies,,,,,,,,Information Technology and Services,1001-5000 employees
16804,Seranova,,,,,,,,Information Technology and Services,1001-5000 employees
,Intelligroup,,,,,,,,,
,TMI Network,,,,,,,,,
,University of the Arts London,,,,,,,,,
,WelTec,,,,,,,,,
,Ministry of Health New Zealand,,,,,,,,,
,Hutt City Council,,,,,,,,,
,Project Management Institute,,,,,,,,,
,AMP Capital NZ,,,,,,,,,
8969,HP Enterprise Services,hgjfghfgfdgdfghdfhdgh,,ghfghfghfgh,,,United States,http://www.nnn.com,Hospital & Health Care,"10,001+ employees"
,Advantage Retail Solutions,,,,,,,,,
,*experience,,,,,,,,,
165825,Salomon Brothers,,,,,,,,Investment Banking,"10,001+ employees"
,Catalyst IT Limited,,,,,,,,,
143065,Ecentric,,,,,,,,Information Technology and Services,11-50 employees
,SmartRecruiters,,,,,,,,,
,University of Redlands,,,,,,,,,
,Resn,,,,,,,,,
,OgilvyOne Malaysia,,,,,,,,,
,Fujitsu,,,,,,,,,
,Shaw Communications,,,,,,,,,
,General Dynamics Canada,,,,,,,,,
,The Banff Centre,,,,,,,,,
,RealRef,,,,,,,,,
,Hillel,,,,,,,,,
,TED Conferences,,,,,,,,,
,Vital Voices Global Partnership,,,,,,,,,
,MercadoLibre.com,,,,,,,,,
,Mediatix,,,,,,,,,
,Unilever,,,,,,,,,
,Telef?nica,,,,,,,,,
,FlexiTime,,,,,,,,,
,Absolute IT,,,,,,,,,
118374,Morel & Co,,,,,,,,Investment Banking,1-10 employees
,Coopers & Lybrand,,,,,,,,,
,Signify Limited,,,,,,,,,
,"Intuit, Inc.",,,,,,,,,
,Digimation,,,,,,,,,
,Autodesk,,,,,,,,,
,Intrepid Networks,,,,,,,,,
,The Walt Disney Company,,,,,,,,,
,AgencyNet,,,,,,,,,
2987,AAA,,,,,,,,Insurance,"5001-10,000 employees"
,Starwood Vacation Ownership,,,,,,,,,
,Full Sail,,,,,,,,,
1511495,Dave Clark Design Associates,,,,,,,http://daveclark.co.nz,Design,
,Spinning Planet,,,,,,,,,
,OutTrippin,,,,,,,,,
,FMG,,,,,,,,,
,Software Education,,,,,,,,,
2258475,Petoni Mahi,,,,,,,http://www.petonimahi.co.nz,Information Technology and Services,1-10 employees
,First NZ Capital,,,,,,,,,
,HomeViva,,,,,,,,,
,Redvespa Consultants Limited,,,,,,,,,
,Schneider Electric,,,,,,,,,
,BankWest,,,,,,,,,
,Spendvision,,,,,,,,,
,CGU,,,,,,,,,
,ASPEQ Limited,,,,,,,,,
,Equinox Limited,,,,,,,,,
440696,AMI Insurance Company,,,,,,,http://www.ami.co.nz,Financial Services,501-1000 employees
621070,Tertiary Education Commission,,,,,,,http://www.tec.govt.nz/,Education Management,1001-5000 employees
,Run The Red,,,,,,,,,
,Agilent,,,,,,,,,
,Finelite Inc.,,,,,,,,,
,Expedia,,,,,,,,,
,West Marine Inc.,,,,,,,,,
16186,ONStor,,,,,,,http://www.onstor.com,Computer Hardware,51-200 employees
4840,Informix,,,,,,,,Computer Software,1001-5000 employees
,Amdahl,,,,,,,,,
,Digital Equipment Corp,,,,,,,,,
,Grow Wellington,,,,,,,,,
,"Maori Trade Marks Advisory Committee, IPONZ",,,,,,,,,
624818,Ministry of Women's Affairs,,,,,,,http://www.mwa.govt.nz,Public Policy,11-50 employees
,CloutFund,,,,,,,,,
,NICE Systems,,,,,,,,,
,Ellis Terry,,,,,,,,,
30244,NamITech,,,,,,,http://www.namitach.com,Information Technology and Services,501-1000 employees
,Right Hemisphere,,,,,,,,,
,Provoke Solutions,,,,,,,,,
660835,New Zealand Parliament,,,,,,,http://www.parliament.nz,Political Organization,51-200 employees
,Nityo Infotech Corporation,,,,,,,,,
,Nityo Infotech Corp.,,,,,,,,,
,Michael Page,,,,,,,,,
,Infonomics Australia,,,,,,,,,
,Telstra Corporation Limited,,,,,,,,,
,National Australia Bank,,,,,,,,,
,DMR Consulting,,,,,,,,,
499123,Bizportal.co.il,,,,,,,http://www.bizportal.co.il,Marketing and Advertising,51-200 employees
,NexTar (www.jobinfo.co.il),,,,,,,,,
,BigBand Networks,,,,,,,,,
,N-trig,,,,,,,,,
,Intel Corporation,,,,,,,,,
,CONTROP Precision Technology Ltd.,,,,,,,,,
,Gotfriends,,,,,,,,,
,SQLink,,,,,,,,,
,bzb,,,,,,,,,
850385,Sheliran,Aluf David,Aluf David,Ramat Gan,,52232,Israel,http://www.sheliran.com,Investment Management,1-10 employees
,Gama Management and Clearance,,,,,,,,,
,Xpanity,,,,,,,,,
,Yissum,,,,,,,,,
141733,Caspi & Co.,,,,,,,,Law Practice,
,Farmers Mutual Group,,,,,,,,,
,E4D Solutions LTD,,,,,,,,,
,Blue Cod Technologies,,,,,,,,,
,CGI,,,,,,,,,
,Korn/Ferry Futurestep,,,,,,,,,
,Victim Support,,,,,,,,,
499123,Bizportal.co.il,,,,,,,http://www.bizportal.co.il,Marketing and Advertising,51-200 employees
,DAN-EL software solutions,,,,,,,,,
,Comtec,,,,,,,,,
,Meridian Energy,,,,,,,,,
,ANZ Banking Group,,,,,,,,,
,Parker Bridge Recruitment NZ,,,,,,,,,
,HCMS,,,,,,,,,
,Insidejob,,,,,,,,,
30814,Techmar,,,,,,,,Telecommunications,51-200 employees
,ResourcingCRM,,,,,,,,,
,Robert Walters,,,,,,,,,
10609,Tristar Products Inc,,,,,,,http://www.tristarproductsinc.com/,Computer Software,51-200 employees
11023,ICL Fujitsu,,,,,,,,Information Technology and Services,"10,001+ employees"
,The Argentine Experience,,,,,,,,,
,Win & Winnow Communications,,,,,,,,,
1748649,H?bitat para la Humanidad Argentina,,,,,,,http://www.hpha.org.ar,Nonprofit Organization Management,
,Trans-Tasman Business Circle,,,,,,,,,
1052125,The Peres Center for Peace - Australian Chapter,,,,,,,http://www.peres.org.au,International Trade and Development,Myself Only
,Australia-Israel Chamber of Commerce,,,,,,,,,
,tracx,,,,,,,,,
,RFB Investment House,,,,,,,,,
,Global-MarkeTeam Ventures,,,,,,,,,
,Granot Ventures,,,,,,,,,
,Finjan Software,,,,,,,,,
,CommTouch,,,,,,,,,
,Sintec - Formula group,,,,,,,,,
,M&C Saatchi,,,,,,,,,
1599113,Better Change,,,,,,,http://www.hvbv.nl,Management Consulting,
,MySkillSpace,,,,,,,,,
,Cordys,,,,,,,,,
,SunGard,,,,,,,,,
,BestMatch,,,,,,,,,
,ClarityRay,,,,,,,,,
,calen.do,,,,,,,,,
,PointGrab,,,,,,,,,
59798,NPX Technologies,,,,,,,,Internet,11-50 employees
59798,NPX Technologies,,,,,,,,Internet,11-50 employees
,Trivnet,,,,,,,,,
,"Intelligroup, Inc (USA)",,,,,,,,,
,Open Polytechnic NZ,,,,,,,,,
,Booktrack,,,,,,,,,
112318,Black Coffee Software,,,,,,,,Information Technology and Services,11-50 employees
,Ogilvy & Mather New York,,,,,,,,,
,Wunderman,,,,,,,,,
,Learning Media Limited,,,,,,,,,
,"CWA New Media, a division of Learning Media Limited",,,,,,,,,
,Television New Zealand,,,,,,,,,
,New Zealand Green Building Council,,,,,,,,,
,Connect NZ Ltd,,,,,,,,,
,Voco,,,,,,,,,
,Voco Limited,,,,,,,,,
,Customise Consulting,,,,,,,,,
,Propellerhead Ltd.,,,,,,,,,
,Pinnacle Recruitment,,,,,,,,,
,Sead Ltd NZ,,,,,,,,,
,Travelex Financial Services,,,,,,,,,
1412445,Skytel LLC,,,,,,,http://www.skytel.mn,Telecommunications,
,IIBA New Zealand Chapter,,,,,,,,,
,T&F Wright Limited,,,,,,,,,
,Westpac Banking Group NZ,,,,,,,,,
,Human Synergistics,,,,,,,,,
,University of Canterbury,,,,,,,,,
,Sidhe,,,,,,,,,
,Comm-IT,,,,,,,,,
,The Brain,,,,,,,,,
,Watchitoo,,,,,,,,,
,Hadea.co.il,,,,,,,,,
323793,AdMarketpros,,,,,,,http://thehomebasedpro.com,Marketing and Advertising,1-10 employees
304154,Mentoring for FREE,,,,,,,http://roberta.successin10steps.com/?mad=33103,Computer Networking,201-500 employees
,Careerbuilder.com,,,,,,,,,
,Ministry of Education New Zealand,,,,,,,,,
,3pix Ltd.,,,,,,,,,
,Aviary Inc,,,,,,,,,
,SUP Fabrik,,,,,,,,,
,PowToon Ltd,,,,,,,,,
,Talent International,,,,,,,,,
,Talent2,,,,,,,,,
164348,Infinity Solutions,,,,,,,,Information Technology and Services,201-500 employees
,Sapphire Technologies Ltd,,,,,,,,,
20082,Access Technology,,,,,,,,Computer Software,51-200 employees
142752,EFTPOS New Zealand,,,,,,,,Banking,501-1000 employees
,The Future Cities Institute,,,,,,,,,
,ecentre,,,,,,,,,
,Startup Weekend,,,,,,,,,
,Microsoft New Zealand,,,,,,,,,
,CLEAR Communications,,,,,,,,,
,Air New Zealand,,,,,,,,,
,"Gross, Kleinhendler, Hodak, Halevy, Greenberg & Co.",,,,,,,,,
,Hunter & Bard,,,,,,,,,
,The Next Web,,,,,,,,,
,StartHub - המתחם,,,,,,,,,
,Aniboom,,,,,,,,,
12987,RichFX,,,,,,,http://www.richfx.com,Internet,51-200 employees
,TA-Vision,,,,,,,,,
,Trafficsales,,,,,,,,,
54846,Delta Galil,,,,,,,http://www.deltagalil.com,Textiles,"5001-10,000 employees"
,CONTEXTin,,,,,,,,,
8464,Sanctum,,,,,,,,Computer Software,51-200 employees
,Bessemer Venture Partners,,,,,,,,,
,Sears Holdings Corporation,,,,,,,,,
,Delver Ltd.,,,,,,,,,
,McAfee,,,,,,,,,
70189,Onigma,,,,,,,,Computer & Network Security,11-50 employees
,EQuala,,,,,,,,,
,Cyber-Ark Software,,,,,,,,,
,Ashdar Building Company,,,,,,,,,
355168,Consulate General of Israel,,,,,,,http://www.israeliconsulatela.org,Political Organization,11-50 employees
,Israel Cloud Computing Association,,,,,,,,,
12335,Brokat,,,,,,,,Computer Software,1001-5000 employees
59092,GSIT,,,,,,,,Information Technology and Services,11-50 employees
,SanDisk,,,,,,,,,
,"Dell, Compaq and Other hi-tech firms",,,,,,,,,
,Big Blue Parrot,,,,,,,,,
,Yedioth Aharonot,,,,,,,,,
,Mekusharim / Walla!,,,,,,,,,
38006,Tapuz,,,,,,,,Internet,51-200 employees
,InnoviNet Online Marketing,,,,,,,,,
,Foresee systems,,,,,,,,,
,"Ron Gazit, Rotenberg & Co.",,,,,,,,,
,Modelity Technologies,,,,,,,,,
,VocalTec,,,,,,,,,
2140975,IDC HERZLIYA - International School,,,,,,,,,
,Ze'ev Scharf & Co. Law Offices,,,,,,,,,
3153,Hebrew University,,,,,,,,Research,1001-5000 employees
850027,"E.S. Shimron, I. Molho, Persky & Co",,,,,,,http://www.smplaw.co.il,Law Practice,11-50 employees
,Club de Marketing de La Rioja,,,,,,,,,
,Amazon.com,,,,,,,,,
,Licensario Ltd.,,,,,,,,,
,Afeka Tel Aviv Academic College of Engineering,,,,,,,,,
52694,Pegasus Technologies,,,,,,,http://www.pegatech.com,Computer Hardware,11-50 employees
52694,Pegasus Technologies,,,,,,,http://www.pegatech.com,Computer Hardware,11-50 employees
39707,Telrad Connegy,,,,,,,,Telecommunications,51-200 employees
,3Com,,,,,,,,,
,Giza Venture Capital,,,,,,,,,
,Clalit Health Services,,,,,,,,,
,Scringo,,,,,,,,,
,Israel Mobile Association,,,,,,,,,
,C2C-Cellmedia,,,,,,,,,
,mobisec ltd,,,,,,,,,
,Bug Multisystem Ltd.,,,,,,,,,
,Union for Reform Judaism - Camp Newman,,,,,,,,,
31188,Frutarom,,,,,,,http://www.frutarom.com,Food & Beverages,501-1000 employees
,TASC Strategic Consulting,,,,,,,,,
,eBay,,,,,,,,,
,Atera Networks,,,,,,,,,
,GeekMedia,,,,,,,,,
64213,Ministry of Law,,,,,,,,Government Administration,51-200 employees
,Mofet,,,,,,,,,
18086,Internet Gold,,,,,,,http://www.oridian.com,Internet,501-1000 employees
,Geomedia Inc.,,,,,,,,,
,Ankor,,,,,,,,,
10170,Xpert,,,,,,,,Information Technology and Services,51-200 employees
1450031,Yatir VC,,,,,,,http://Www.yatirvc.com,Venture Capital & Private Equity,
,Jongou,,,,,,,,,
,SinglePoint,,,,,,,,,
,The Iron Yard,,,,,,,,,
,BetterInternet,,,,,,,,,
,Tapingo (formerly known as NsofConnect),,,,,,,,,
,VeriFone,,,,,,,,,
,Bites TV,,,,,,,,,
1307376,NHM Worldwide ltd.,,,,,,,http://www.nhm.co.il,Internet,
,CEVA,,,,,,,,,
68400,Gitam BBDO,8 Raul Valenberg,8 Raul Valenberg,Tel Aviv,,0,Israel,,Marketing and Advertising,51-200 employees
,Euro RSCG,,,,,,,,,
137313,Comrax,,,,,,,,Computer Software,11-50 employees
,Sela Group,,,,,,,,,
,Mithatnim Web Site,,,,,,,,,
,Bank Leumi USA,,,,,,,,,
,Leumi USA,,,,,,,,,
,StructuredWeb,,,,,,,,,
,NYS Small Business Development Center,,,,,,,,,
,New York Angels,,,,,,,,,
,CUNY Institute for Virtual Enterprise,,,,,,,,,
635114,The Wine Spectrum,,,,,,,http://www.winespectrum.com,Wine and Spirits,51-200 employees
,Tempo beverages Ltd,,,,,,,,,
,Poketalk Telecom Services,,,,,,,,,
,Blumberg Capital,,,,,,,,,
1445342,Self Empolyed,,,,,,,http://,Consumer Electronics,
,Blinkit,,,,,,,,,
,Newsgeek,,,,,,,,,
,MyBrandz,,,,,,,,,
,Zibaba,,,,,,,,,
,Bizzabo,,,,,,,,,
,Elbit Systems Ltd,,,,,,,,,
,DealZone,,,,,,,,,
,ironSource,,,,,,,,,
,VineHood,,,,,,,,,
1565094,iToldem,,,,,,,http://www.itoldem.com,Computer Software,
1307104,Greeneye,,,,,,,http://www.greeneye.co.il,Financial Services,
29857,Ynet,,,,,,,,Internet,51-200 employees
,Tel Aviv University and College of Management,,,,,,,,,
,Milestone,,,,,,,,,
,Fried Frank,,,,,,,,,
,Michlol Services Application - מכלול אפליקציות שרות,,,,,,,,,
,SenseGon Technologies,,,,,,,,,
,Widdit,,,,,,,,,
,Exent Technologies,,,,,,,,,
,"Mel Rosenberg's Office, Tel Aviv University",,,,,,,,,
,Afeka Academic College of Engineering,,,,,,,,,
,Wall Street Institute,,,,,,,,,
,Channel 2 News,,,,,,,,,
,LISCR LLC,,,,,,,,,
,M. Seligman & Co. Advocates and Notaries,,,,,,,,,
,Application Buzz,,,,,,,,,
,Babylon,,,,,,,,,
,"Strategy & International Operations Division, Leumi Bank",,,,,,,,,
,Adkit - Global information & Research,,,,,,,,,
755155,Israel Police - Cyber crime unit,,,,,,,http://police.gov.il,Government Relations,1-10 employees
,Tweegee.com,,,,,,,,,
64879,Neocleus,,,,,,,,Computer & Network Security,11-50 employees
11475,BackWeb Technologies,,,,,,,http://www.tcfsystems.com/en/,Computer Software,51-200 employees
,foursquare,,,,,,,,,
,BlackRock,,,,,,,,,
,Kopali Organics,,,,,,,,,
,Hearst Magazines,,,,,,,,,
,UserVOD,,,,,,,,,
720959,Logic Industries,,,,,,,http://N/A,Defense & Space,201-500 employees
,Kangu.org,,,,,,,,,
,Agility Recovery Solutions,,,,,,,,,
1811992,Global Education Fund,,,,,,,http://www.globaleducationfund.org/,International Affairs,1-10 employees
,TechStars,,,,,,,,,
,Kiva.org,,,,,,,,,
,Catawba Lands Conservancy,,,,,,,,,
,Songza,,,,,,,,,
,Amie Street,,,,,,,,,
,Performance Revenues,,,,,,,,,
,Finnetrix,,,,,,,,,
,PartyGaming,,,,,,,,,
,Random Logic- 888.com,,,,,,,,,
,Shunra,,,,,,,,,
,HP Software (Mercury),,,,,,,,,
,Applied Materials,,,,,,,,,
,Check Point Software Technologies,,,,,,,,,
,88mph.ac,,,,,,,,,
,HumanIPO & IPO48,,,,,,,,,
125304,bold.dk,,,,,,,,Newspapers,1-10 employees
,Betgenius Eesti O?,,,,,,,,,
,Sportingbet,,,,,,,,,
,Centrebet.com,,,,,,,,,
32673,Orbiscom,,,,,,,,Information Technology and Services,51-200 employees
,Enterprise Ireland,,,,,,,,,
,Wibiya,,,,,,,,,
167234,Devunity.com,,,,,,,,Internet,1-10 employees
,WeFi.com,,,,,,,,,
,TriPlay,,,,,,,,,
,Dotomi,,,,,,,,,
925320,Newpan Pro,,,,,,,http://www.newpanpro.co.il,Consumer Electronics,11-50 employees
,SimilarGroup,,,,,,,,,
99739,CubeEffect,,,,,,,,Internet,11-50 employees
,Zend Technologies,,,,,,,,,
,IDC Herzliya,,,,,,,,,
,keshet tv,,,,,,,,,
,OTI,,,,,,,,,
,SmartTrust,,,,,,,,,
,Celeno,,,,,,,,,
,Actelis Networks,,,,,,,,,
64814,Pivetal,,,,,,,,Telecommunications,11-50 employees
,Arootz,,,,,,,,,
,Aylus Networks,,,,,,,,,
101741,Fujin Technology,,,,,,,,Computer & Network Security,1-10 employees
19378,Azaire Networks,,,,,,,,Telecommunications,51-200 employees
61314,Vringo,,,,,,,http://www.vringo.com,Wireless,11-50 employees
,SCVNGR,,,,,,,,,
,The Ad Club,,,,,,,,,
,YouIntern.com,,,,,,,,,
,Arnold Worldwide,,,,,,,,,
,Boston University AdClub,,,,,,,,,
,"Hill, Holliday",,,,,,,,,
52780,Pinpoint Technologies,,,,,,,http://www.pinpoint-tech.com,Marketing and Advertising,51-200 employees
,ZOLL Data Systems,,,,,,,,,
,ViVOtech,,,,,,,,,
,DemTech,,,,,,,,,
,Option Wireless,,,,,,,,,
,Demtech Mobile Services / MediaProximity,,,,,,,,,
,Novarra,,,,,,,,,
,Outsmart telecom,,,,,,,,,
10999,Insignia Solutions,,,,,,,,Computer Software,51-200 employees
,Followap / Regional Sales Manager NeuStar (NeuStar acquired Followap ),,,,,,,,,
,Viachannel,,,,,,,,,
,Excem Technologies,,,,,,,,,
1519528,Sixeye-interactive,,,,,,,http://,Venture Capital & Private Equity,
,Powermat,,,,,,,,,
,OnlinePianist.com,,,,,,,,,
,Bees and Pollen,,,,,,,,,
,KPMG Somekh Chaikin,,,,,,,,,
,Wibbitz,,,,,,,,,
,L'Oreal Israel,,,,,,,,,
,"Yellion Global Advisors, LLC",,,,,,,,,
,"Deutsche Bank, AG (New York)",,,,,,,,,
,Deutsche Bank AG (Brussels),,,,,,,,,
,"The Chase Manhattan Bank, NA",,,,,,,,,
,Make My Plate,,,,,,,,,
,Ernst and Young,,,,,,,,,
,Trekking-in,,,,,,,,,
,inManage,,,,,,,,,
,RSA Security,,,,,,,,,
,RSA The Security Division of EMC,,,,,,,,,
,Koda Communication,,,,,,,,,
,Unisfair,,,,,,,,,
,BankHapoalim,,,,,,,,,
,Trigger-Foresight,,,,,,,,,
,Aniways,,,,,,,,,
,slimail,,,,,,,,,
,PeerTV,,,,,,,,,
,Apple Computer,,,,,,,,,
,Compverse Technology,,,,,,,,,
,Pitango,,,,,,,,,
,Soluto,,,,,,,,,
,DigiGage,,,,,,,,,
52919,Paieon Medical,23 Hamelacha Street,,Rosh Ha'ayin,,48091,Israel,http://www.paieon.com,Medical Devices,11-50 employees
,POSE,,,,,,,,,
,Agora Gallery,,,,,,,,,
,The Creative Group,,,,,,,,,
,Blind Acre Media,,,,,,,,,
,Tech Resources,,,,,,,,,
24751,Davie Brown Entertainment,,,,,,,http://www.davie-brown.com,Entertainment,51-200 employees
,Gemini Israel Ventures,,,,,,,,,
,Onset Technology,,,,,,,,,
76500,Precede Technologies,,,,,,,http://www.precede.com,Venture Capital & Private Equity,1-10 employees
,"Mobli Media, Inc.",,,,,,,,,
,Playdom (A subsidiary of the Walt Disney Company),,,,,,,,,
,Israeli Defense Force,,,,,,,,,
,Startupdenmark.dk,,,,,,,,,
,DHL Express A/S,,,,,,,,,
,DHL Express European Coordination Center,,,,,,,,,
,DHL Nordic Cluster - 9 countries,,,,,,,,,
,DHL Express European Regional Office,,,,,,,,,
,"TreeTop Technologies, Inc.",,,,,,,,,
,Netotiate,,,,,,,,,
11121,Israeli Air Force,,,,,,,,Military,"10,001+ employees"
,Blueprint Health,,,,,,,,,
,Venture For America,,,,,,,,,
,UBS Investment Bank,,,,,,,,,
,Impact First Investments,,,,,,,,,
,Senexx,,,,,,,,,
,Rating-Widget,,,,,,,,,
,SircleIt,,,,,,,,,
,SAP Labs,,,,,,,,,
1823498,Venturegeeks Startup Accelerator,,,,,,,http://www.venturegeeks.org,Venture Capital & Private Equity,1-10 employees
,TheStartupDigest,,,,,,,,,
,Geek Media,,,,,,,,,
22194,Integrity Systems,,,,,,,,Information Technology and Services,51-200 employees
,Microsoft Israel,,,,,,,,,
22194,Integrity Systems,,,,,,,,Information Technology and Services,51-200 employees
,"Stanley Black & Decker , Inc.",,,,,,,,,
,Brooks-Keret,,,,,,,,,
,Arthur Andersen,,,,,,,,,
,Freelancers Union,,,,,,,,,
,Freelancers Insurance Company,,,,,,,,,
,Working Today,,,,,,,,,
,Baby First TV,,,,,,,,,
,MTV Networks,,,,,,,,,
,Avedya,,,,,,,,,
,Walla!,,,,,,,,,
,SG Acquisitions,,,,,,,,,
,"SG Private Wealth Advisors, LLC",,,,,,,,,
,Deutsche Bank,,,,,,,,,
,UCLA Anderson School of Management,,,,,,,,,
,SAFEND (Intel funded Security Start-up sold to Wave Systems WAVX),,,,,,,,,
,MICROSOFT - Security Business Unit,,,,,,,,,
,ECKO UNLIMITED (Urban Sportswear),,,,,,,,,
39081,K2K,,,,,,,,Computer Software,11-50 employees
,UpWest Labs,,,,,,,,,
28732,New Israel Fund,,,,,,,,Fund-Raising,11-50 employees
,High Peaks Venture Partners,,,,,,,,,
,AOL LLC,,,,,,,,,
,Banc of America Securities,,,,,,,,,
,THE BOX,,,,,,,,,
,International Academic Counter Terrorism Community (ICTAC),,,,,,,,,
,International Institute for Counter Terrorism,,,,,,,,,
,UC Berkeley,,,,,,,,,
,Stanford University,,,,,,,,,
,Monterey Institute of International Studies,,,,,,,,,
,Nanyang Technological University,,,,,,,,,
,Memorial Institute for Prevention of Terrorism (MIPT),,,,,,,,,
,Manhattan Institute,,,,,,,,,
,Government of Israel,,,,,,,,,
,Bar Ilan University,,,,,,,,,
3153,Hebrew University,,,,,,,,Research,1001-5000 employees
496407,Can?nigo Films S.A.,,,,,,,http://www.canonigofilms.com,Media Production,1-10 employees
,Brightstar,,,,,,,,,
,Buffer,,,,,,,,,
1030402,StartupMill,,,,,,,http://www.startupmill.com,Internet,1-10 employees
,ahead7,,,,,,,,,
,OnePage,,,,,,,,,
,TipRanks,,,,,,,,,
,BroadwayBox.com,,,,,,,,,
6283,NetManage,,,,,,,http://www.netmanage.com,Computer Software,201-500 employees
18126,Daisy Systems,,,,,,,http://www.voom.net,Computer Software,501-1000 employees
,Electro Rent Corporation,,,,,,,,,
,Marvell Semiconductor,,,,,,,,,
,Broadcom,,,,,,,,,
,AMCC,,,,,,,,,
3149,Israel Defense Forces,,,,,,,,Military,"10,001+ employees"
8226,Israel Electric Company,nativ haor,nativ haor,haifa,,,Israel,http://www.iec.co.il,Electrical/Electronic Manufacturing,"10,001+ employees"
,Ron Gazit Rotenberg Law Firm,,,,,,,,,
970658,Magazine 18,,,,,,,http://www.18m.co.il/,Newspapers,1-10 employees
,Treepodia,,,,,,,,,
,Familio,,,,,,,,,
,MyPermissions,,,,,,,,,
,Promodity,,,,,,,,,
,lool ventures,,,,,,,,,
,Tonara,,,,,,,,,
,ZooZ,,,,,,,,,
,Fooducate,,,,,,,,,
,RankAbove,,,,,,,,,
,Everything.me (formerly DoAT),,,,,,,,,
,Vikido,,,,,,,,,
,Sense of Fashion,,,,,,,,,
1373307,Face.com,,,,,,,http://,Computer Software,
,Yedda,,,,,,,,,
,PicApp,,,,,,,,,
,BloggersBase.com,,,,,,,,,
,D?zquare,,,,,,,,,
,Shenkar College of Engineering and Design,,,,,,,,,
,University College London,,,,,,,,,
,tawkon,,,,,,,,,
,fring,,,,,,,,,
38935,Envara,,,,,,,,Semiconductors,51-200 employees
,Fashioholic,,,,,,,,,
1318806,Qalibro,,,,,,,http://www.qalibro.com,Information Technology and Services,
,IBM Haifa Research Labs,,,,,,,,,
,The Marker,,,,,,,,,
1036,MSN,,,,,,,http://www.msn.com,Online Media,"10,001+ employees"
,QuickiWiki,,,,,,,,,
,Touchbase.it,,,,,,,,,
,tigiGO,,,,,,,,,
,Kampyle,,,,,,,,,
,Monfort Software Engineering LTD.,,,,,,,,,
,"Intelligence Corps, IDF",,,,,,,,,
,Scitex,,,,,,,,,
,shopnfly,,,,,,,,,
,Golden Pages Israel,,,,,,,,,
,AMADESA,,,,,,,,,
70926,TVeez,,,,,,,,Computer Software,11-50 employees
,Business Develop,,,,,,,,,
